매장명,작성일,리뷰내용,감정분석,고객_선택_태그
달빛에구운고등어 파주운정점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 파주운정점,2026-04-06,메뉴 구성이 알차요,중립,태그 없음
달빛에구운고등어 파주운정점,2026-04-04,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 천안신방점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 아산온천점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 아산온천점,2026-04-05,양이 많아요,중립,태그 없음
달빛에구운고등어 아산온천점,2026-04-04,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 부천약대오거리점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 부천약대오거리점,2026-04-05,반찬이 잘 나와요,중립,태그 없음
달빛에구운고등어 서산점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 청주지웰점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 청주지웰점,2026-04-05,인테리어가 멋져요,중립,태그 없음
달빛에구운고등어 청주지웰점,2026-04-03,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 인천송도점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 진주혁신점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 진주혁신점,2026-04-05,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 수원망포점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 수원망포점,2026-04-04,매장이 청결해요,중립,태그 없음
달빛에구운고등어 수원망포점,2026-04-04,가성비가 좋아요,긍정,태그 없음
달빛에구운고등어 세종장군점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 세종장군점,2026-04-05,메뉴 구성이 알차요,중립,태그 없음
달빛에구운고등어 양산물금점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 양산물금점,2026-04-06,양이 많아요,중립,태그 없음
달빛에구운고등어 양산물금점,2026-04-06,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 대구칠곡점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 남양주별내점,2026-04-06,인테리어가 멋져요,중립,태그 없음
달빛에구운고등어 남양주별내점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 김포양촌구래점,2026-04-06,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 김포양촌구래점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 광양점,2026-03-23,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 광양점,2026-03-22,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 순천신대점,2026-03-29,매장이 넓어요,긍정,태그 없음
달빛에구운고등어 순천신대점,2026-03-28,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 순천신대점,2026-03-01,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 부산괴정점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 부산괴정점,2026-04-06,반찬이 잘 나와요,중립,태그 없음
달빛에구운고등어 부산괴정점,2026-04-05,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 포항이동점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 포항이동점,2026-04-05,매장이 넓어요,긍정,태그 없음
달빛에구운고등어 부산동래점,2026-04-05,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 부산동래점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 부산동래점,2026-04-04,음료가 맛있어요,긍정,태그 없음
달빛에구운고등어 울산일산점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 울산일산점,2026-04-05,매장이 넓어요,긍정,태그 없음
달빛에구운고등어 일곡삼각점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 일곡삼각점,2026-04-06,반찬이 잘 나와요,중립,태그 없음
달빛에구운고등어 파주심학산점,2026-04-04,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 부산센텀점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 부산센텀점,2026-04-06,양이 많아요,중립,태그 없음
달빛에구운고등어 부산센텀점,2026-04-05,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 부산화명점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 부산화명점,2026-04-05,특별한 메뉴가 있어요,중립,태그 없음
달빛에구운고등어 순천법원점,2026-04-07,특별한 메뉴가 있어요,중립,태그 없음
달빛에구운고등어 순천법원점,2026-04-07,양이 많아요,중립,태그 없음
달빛에구운고등어 광주진월점,2026-04-07,양이 많아요,중립,태그 없음
달빛에구운고등어 정읍점,2026-04-07,양이 많아요,중립,태그 없음
달빛에구운고등어 용인유림점,2026-04-07,주차하기 편해요,중립,태그 없음
달빛에구운고등어 부천약대오거리점,2026-04-07,인테리어가 멋져요,중립,태그 없음
달빛에구운고등어 서산점,2026-04-05,인테리어가 멋져요,중립,태그 없음
달빛에구운고등어 남양주별내점,2026-04-06,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 부산화명점,2026-04-07,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 부산화명점,2026-04-07,인테리어가 멋져요,중립,태그 없음
